AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891935986879821,0.0,8,4,1030,5,7,76,0,0,0,0.6891935986879821
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5589669203484695,0.0,8,4,1030,3,6,76,0,0,0,0.5589669203484695
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.109272238247306,0.0,8,4,1030,4,6,78,0,0,0,1.109272238247306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280742913156907,0.0,8,4,1030,3,6,78,0,0,0,1.280742913156907
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556975538653201,0.0,8,4,1030,2,8,78,0,0,0,0.556975538653201
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.5653647636673105,0.0,7,4,1030,3,4,78,0,0,0,0.5653647636673105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6895567686020129,0.0,7,4,1030,4,8,80,0,0,0,0.6895567686020129
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5631312686960216,0.0,7,4,1030,3,7,81,0,0,0,0.5631312686960216
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.5569089575022954,0.0,7,4,1030,4,14,81,0,0,0,0.5569089575022954
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.6729780620265109,0.0,7,4,1030,4,9,81,0,0,0,0.6729780620265109
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.0,0.5931351564268589,0.0,6,3,1031,4,10,82,0,0,0,0.5931351564268589
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.6851926768017437,0.0,6,3,1030,4,7,82,0,0,0,0.6851926768017437
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598,0.0,0.0,0.0,0.0,0.0,1.291976969164257,0.0,6,3,1030,3,8,82,0,0,0,1.291976969164257
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.14,1.02665713563722,0.0,6,3,1030,5,6,82,0,0,0,1.02665713563722
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.0,0.0,0.0,0.0,0.0,0.5540701793409553,0.0,6,3,1030,3,8,81,0,0,0,0.5540701793409553
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0,0.0,0.0,2.033866522378095,0.0,6,3,1030,3,6,81,0,0,0,2.033866522378095
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497,0.0,0.0,0.0,0.0,0.14,2.514170839347512,0.0,6,3,1030,3,5,81,0,0,0,2.514170839347512
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.0,0.0,0.0,0.0,0.0,1.794374122570542,0.0,6,3,1030,4,10,82,0,0,0,1.794374122570542
